hey,about_VA
how much do you weigh,about_VA
how old are you,about_VA
how tall are you,about_VA
i want jokes,about_VA
I want to date you,about_VA
know any jokes,about_VA
tell me your favorite color,about_VA
what are you called,about_VA
what do i call you,about_VA
what is your favourite colour,about_VA
what is your favourite music,about_VA
what is your name,about_VA
what music do you like,about_VA
your name,about_VA
what's your,about_VA
what's your favorite,about_VA
whats your favorite color,about_VA
whats your favorite movie,about_VA
what's your name,about_VA
whats your name,about_VA
what types of food do you like,about_VA
when were you born,about_VA
do you hate,about_VA
Do you like,about_VA
do you love,about_VA
let's see! what do we have for today?,available_ingredients
what ingredients do we have?,available_ingredients
make me a summary of what I have,available_ingredients
tell me what ingredients I have in the fridge,available_ingredients
I have something to cook?,available_ingredients
I have something to eat?,available_ingredients
I have eaten everything already?,available_ingredients
Is there something in the fridge?,available_ingredients
What can I cook with today?,available_ingredients
What is still left?,available_ingredients
What do I have in the fridge?,available_ingredients
what are your capabilities Watson,capabilities
what else,capabilities
what do you know,capabilities
What do you have,capabilities
what do you have?,capabilities
what did you learn,capabilities
what care you capablities,capabilities
what capabilities you have,capabilities
what can you help me with,capabilities
what can you do for me,capabilities
what canyou do,capabilities
what can you do,capabilities
What can i say,capabilities
what can I do,capabilities
What ca I ask?,capabilities
What are your functions?,capabilities
what are your benefits,capabilities
What are you,capabilities
tell me what you can do,capabilities
Tell me what to do.,capabilities
tell me what things you can do,capabilities
tell me some jokes,capabilities
tell me jokes,capabilities
tell me joke,capabilities
tell me a joke,capabilities
so what did you learn?,capabilities
but can I ask you,capabilities
can I manipulate the,capabilities
Can I teach you,capabilities
can i training you?,capabilities
can u please do that,capabilities
can you direct me please?,capabilities
Can you do anything that helps me drive?,capabilities
can you do coding ?,capabilities
can you do it?,capabilities
can you do more than that?,capabilities
CAN YOU DO OTHER THING?,capabilities
can you do this?,capabilities
Can you drive anywhere else?,capabilities
can you harm me?,capabilities
Can you hear me?,capabilities
can you learn something new?,capabilities
can you read me,capabilities
can you speak something with me?,capabilities
do you do anything else,capabilities
Do you do anything else?,capabilities
do you know something about cognitive?,capabilities
Hello can i have some help,capabilities
help,capabilities
help me,capabilities
Hi! what could you do ?,capabilities
hi where am i,capabilities
How are you going to help me,capabilities
how can you help me,capabilities
how close is,capabilities
ok watson,capabilities
need help,capabilities
lets go,capabilities
i want to see how this demo works,capabilities
why should I use you,capabilities
what things can you do,capabilities
what should i ask,capabilities
what question,capabilities
What makes you different from Siri or Google,capabilities
what are you capable of,capabilities
no thank,decision_replies
not a clue,decision_replies
no,decision_replies
maybe,decision_replies
yes,decision_replies
yes definitely,decision_replies
yes please,decision_replies
yes thanks,decision_replies
no thanks watson,decision_replies
No thank you,decision_replies
You know how to cook this,get_recipe
You know how this is cooked?,get_recipe
what this,get_recipe
What if today like this,get_recipe
What do you think about cooking this,get_recipe
"Watson, tell me how to do",get_recipe
this dish,get_recipe
Tell me how to cook this,get_recipe
Look how good it looks!,get_recipe
